"movieId","title","genres","Director","Actors","Overview","Production_Countries","Production_Companies","Vote_Average","Vote_Count","Budget","Revenue","Keywords","Runtime","Content_Type","poster_path","backdrop_path","trailer_key"
"1.0","Toy Story (1995)","Adventure|Animation|Children|Comedy|Fantasy","John Lasseter","Tom Hanks, Tim Allen, Don Rickles","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","United States of America","Pixar","7.97","19275.0","30000000.0","394436586.0","rescue, friendship, mission, jealousy, villain, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness, toy, pixar","81.0","Movie","/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg","/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg","CxwTLktovTU"
"2.0","Jumanji (1995)","Adventure|Children|Fantasy","Joe Johnston","Robin Williams, Kirsten Dunst, Bradley Pierce","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","United States of America","TriStar Pictures, Interscope Communications, Teitler Film, PolyGram Filmed Entertainment","7.241","10960.0","65000000.0","262821940.0","giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel, vibrant","104.0","Movie","/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg","/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg","veszTagaXik"
"3.0","Grumpier Old Men (1995)","Comedy|Romance","Howard Deutch","Walter Matthau, Jack Lemmon, Ann-Margret","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","United States of America","Lancaster Gate, Warner Bros. Pictures","6.5","409.0","25000000.0","71500000.0","fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks","101.0","Movie","/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg","/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg","rEnOoWs3FuA"
"4.0","Waiting to Exhale (1995)","Comedy|Drama|Romance","Forest Whitaker","Whitney Houston, Angela Bassett, Loretta Devine","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","United States of America","20th Century Fox","6.26","179.0","16000000.0","81452156.0","based on novel or book, single mother, divorce, anxious, friendship between women, cautionary, adoring, celebratory, comforting, african american romance, african american friendship","127.0","Movie","/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg","/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg","j9xml1CxgXI"
"5.0","Father of the Bride Part II (1995)","Comedy","Charles Shyer","Steve Martin, Diane Keaton, Martin Short","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.","United States of America","Touchstone Pictures, Sandollar Productions","6.3","776.0","0.0","76594107.0","daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, pregnant woman, contraception, gynecologist, pregnant","106.0","Movie","/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg","/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg","yCg8WNQwe0A"
"6.0","Heat (1995)","Action|Crime|Thriller","Michael Mann","Al Pacino, Robert De Niro, Val Kilmer","Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","United States of America","Warner Bros. Pictures, Regency Enterprises, Forward Pass","7.921","7898.0","60000000.0","187400000.0","robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, cynical, ex-con, one last job, loner, bank job, neo-noir, crime epic, antagonistic, bold","170.0","Movie","/umSVjVdbVwtx5ryCA2QXL44Durm.jpg","/uI22JkEMediWyiRqhllNqeeGtW0.jpg","14oNcFxiVaQ"
"7.0","Sabrina (1995)","Comedy|Romance","Sydney Pollack","Harrison Ford, Julia Ormond, Greg Kinnear","Sabrina Fairchild, a chauffeur's daughter, grew up at the Long Island estate of the wealthy Larrabee family enchanted with their sparkling world of privilege and wealth, but she's especially enamored of younger son David, a charming playboy. After the once plain Sabrina returns from a sojourn in Paris transformed into a glamorous young woman, she at long last catches David's eye. In a calculated effort to manipulate David away from her and into a more financially advantageous marriage, formidable older brother Linus devises a plan to keep them apart.","Germany, United States of America","Paramount Pictures, Constellation Films, Mirage Enterprises, Scott Rudin Productions, Sandollar Productions, Worldwide Productions, Mont Blanc Entertainment GmbH","6.2","656.0","58000000.0","53672080.0","chauffeur, sibling relationship, paris, france, transformation, birthday party, family business , long island, new york, playboy, teenage crush, millionaire, marriage engagement, high society, merger, impossible love, family disapproval, scheme, wealth differences, wealthy family, father daughter relationship, brother brother relationship, unlikely romance, romantic","127.0","Movie","/i8PbLJDPU7vCwwscWD625oHbJy.jpg","/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg","iEqPw_QP28c"
"8.0","Tom and Huck (1995)","Adventure|Children","Peter Hewitt","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","United States of America","Walt Disney Pictures, Painted Fence Productions","5.243","202.0","0.0","23920048.0","based on novel or book, mississippi river, male friendship, restless youth, rural americana","97.0","Movie","/bMY31ikEOIPOHqQwhPhII8UVBln.jpg","/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg","-C-xXZyX2zU"
"9.0","Sudden Death (1995)","Action","Peter Hyams","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry","When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.","United States of America","Shattered Productions, Universal Pictures, Imperial Entertainment, Signature Entertainment","6.005","773.0","35000000.0","64350171.0","explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins","110.0","Movie","","",""
"10.0","GoldenEye (1995)","Action|Adventure|Thriller","Martin Campbell","Pierce Brosnan, Sean Bean, Izabella Scorupco","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","United Kingdom","EON Productions","6.896","4145.0","60000000.0","352194034.0","computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army","130.0","Movie","/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg","/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg","_PMD6YenOEg"
