Strategy,Group_Size,NDCG@10,Precision@10,Recall@10,Fairness,Disagreement,Avg_GT_Size,Num_Groups
Average (AVG),2,0.25295638101761975,0.08,0.0006873884097776953,0.8,1.3968373878284566,558.0,5
Least Misery (LM),2,0.3368604864089377,0.12000000000000002,0.0022289047562273415,0.6,0.05441542873627196,558.0,5
Most Pleasure (MP),2,0.14612898733513405,0.06000000000000001,0.005202460783731925,0.8,1.6197883145774423,558.0,5
Hybrid 70/30 (H70),2,0.3278819463705285,0.08,0.001885210551338494,0.8,1.2853199203671815,558.0,5
Hybrid 50/50 (H50),2,0.4385360384247557,0.08,0.001885210551338494,0.6,1.059758877778361,558.0,5
Average (AVG),3,0.355527952412769,0.13333333333333333,0.0010529871989135634,0.7777777777777777,1.4663475271778585,845.3333333333334,3
Least Misery (LM),3,0.5482790957620972,0.19999999999999998,0.0016403587113952081,1.0,0.10933940322157226,845.3333333333334,3
Most Pleasure (MP),3,0.09635494210596256,0.03333333333333333,0.0002531004808909137,0.7777777777777777,1.6039469840039484,845.3333333333334,3
Hybrid 70/30 (H70),3,0.5167860702772452,0.16666666666666666,0.0013466729551543856,0.7777777777777777,1.2885221396693145,845.3333333333334,3
Hybrid 50/50 (H50),3,0.5419504882263644,0.2333333333333333,0.001852873916936213,0.7777777777777777,1.0463696271300722,845.3333333333334,3
Average (AVG),4,0.14453241315894383,0.05,0.0032679738562091504,0.5,1.4501038754140787,119.0,2
Least Misery (LM),4,0.20438234132698363,0.05,0.0032679738562091504,0.5,0.10264453133735024,119.0,2
Most Pleasure (MP),4,0.0,0.0,0.0,0.75,1.6672054509136573,119.0,2
Hybrid 70/30 (H70),4,0.17810359355401117,0.05,0.0032679738562091504,0.375,1.1865810282630507,119.0,2
Hybrid 50/50 (H50),4,0.21533827903669644,0.05,0.0032679738562091504,0.75,1.0544172579804676,119.0,2
