C,Aggregation,NDCG@10
0.1,average,0.5689269707737886
0.1,least_misery,0.4906156880564875
0.1,harmonic_mean,0.5711211541247085
0.5,average,0.567318427436642
0.5,least_misery,0.4869967227723045
0.5,harmonic_mean,0.5716845526079996
1.0,average,0.5750355369653641
1.0,least_misery,0.46561099334500045
1.0,harmonic_mean,0.5722756739392658
2.0,average,0.5577990189511539
2.0,least_misery,0.4655755576956767
2.0,harmonic_mean,0.5418619462837697
5.0,average,0.5280139818038749
5.0,least_misery,0.43182201097249423
5.0,harmonic_mean,0.5219759297833176
10.0,average,0.4925754549632214
10.0,least_misery,0.4146066377914954
10.0,harmonic_mean,0.489714229152306
