strategy,parameter,aggregation,w_ubcf,C,group_ndcg,fairness,composite_score,num_groups
performance,w=0.00/1.00,average,0.0,,0.4613481726488981,0.8316863970898316,0.5724496399811781,3
performance,w=0.00/1.00,least_misery,0.0,,0.4599972899446725,0.8803426521169654,0.5861008985963603,2
performance,w=0.00/1.00,harmonic_mean,0.0,,0.5211768090785855,0.8365717903781527,0.6157953034684556,2
performance,w=0.05/0.95,average,0.05,,0.4749897243774785,0.8250293905282264,0.5800016242227028,3
performance,w=0.05/0.95,least_misery,0.05,,0.3951894898386251,0.9067172139771411,0.5486478070801799,4
performance,w=0.05/0.95,harmonic_mean,0.05,,0.46143963151712836,0.8358922056232339,0.57377540374896,3
performance,w=0.10/0.90,average,0.1,,0.5476270341167487,0.8264412291020917,0.6312712926123516,2
performance,w=0.10/0.90,least_misery,0.1,,0.46597987461771906,0.8910321099319427,0.5934955452119861,2
performance,w=0.10/0.90,harmonic_mean,0.1,,0.4356157957079622,0.8365244776684332,0.5558884002961035,3
performance,w=0.15/0.85,average,0.15,,0.5308031558224251,0.8167975592484917,0.616601476850245,2
performance,w=0.15/0.85,least_misery,0.15,,0.4821315434523954,0.8864397439021929,0.6034240035873346,2
performance,w=0.15/0.85,harmonic_mean,0.15,,0.4821315434523954,0.8305579644152361,0.5866594697412476,2
performance,w=0.20/0.80,average,0.2,,0.6309297535714573,0.8478803827687104,0.6960149423306332,1
performance,w=0.20/0.80,least_misery,0.2,,0.4599972899446725,0.8855532726361548,0.5876640847521172,2
performance,w=0.20/0.80,harmonic_mean,0.2,,0.6309297535714573,0.8478803827687104,0.6960149423306332,1
confidence,C=5,average,,5.0,0.3010299956639808,0.9196186766446368,0.48660659995817757,1
confidence,C=5,least_misery,,5.0,0.0,0.0,0.0,0
confidence,C=5,harmonic_mean,,5.0,0.0,0.0,0.0,0
confidence,C=10,average,,10.0,0.3010299956639808,0.9145253881228509,0.4850786134016418,2
confidence,C=10,least_misery,,10.0,0.0,0.0,0.0,0
confidence,C=10,harmonic_mean,,10.0,0.0,0.0,0.0,0
confidence,C=20,average,,20.0,0.3010299956639808,0.9082536632528602,0.48319709594064464,2
confidence,C=20,least_misery,,20.0,0.0,0.0,0.0,0
confidence,C=20,harmonic_mean,,20.0,0.0,0.0,0.0,0
confidence,C=30,average,,30.0,0.3010299956639808,0.8985869306081641,0.4802970761472357,1
confidence,C=30,least_misery,,30.0,0.0,0.0,0.0,0
confidence,C=30,harmonic_mean,,30.0,0.0,0.0,0.0,0
