w_ubcf,w_cbf,aggregation,group_ndcg,fairness,num_groups
0.0,1.0,average,0.36722262242889514,0.8512945210971709,30
0.05,0.95,average,0.39207179074516324,0.8495957544728256,30
0.1,0.9,average,0.39913138010295,0.8506220912211314,30
0.15,0.85,average,0.379253335700415,0.851801303450965,30
0.2,0.8,average,0.35337740081727426,0.8551239296409402,30
0.25,0.75,average,0.3316436576414239,0.8511013877605376,30
0.0,1.0,least_misery,0.35656575111253835,0.9342176143894197,30
0.05,0.95,least_misery,0.38795806994193577,0.9340938367824579,30
0.1,0.9,least_misery,0.4102195359154193,0.9309451187933299,30
0.15,0.85,least_misery,0.4026532381038935,0.9298351541601818,30
0.2,0.8,least_misery,0.4127577687956221,0.9281338073538762,30
0.25,0.75,least_misery,0.3865098510806592,0.9258035942203207,30
0.0,1.0,harmonic_mean,0.36302005042755536,0.8686093624392064,30
0.05,0.95,harmonic_mean,0.39074480286389957,0.8682824130983382,30
0.1,0.9,harmonic_mean,0.40135770456903325,0.8688430517409244,30
0.15,0.85,harmonic_mean,0.3828634254141905,0.8679682654551184,30
0.2,0.8,harmonic_mean,0.35782581946668046,0.8693994024052407,30
0.25,0.75,harmonic_mean,0.33466367455789287,0.8660191084642023,30
