normalization,similarity,min_ratings,top_k,NDCG,RMSE,MAE
zscore,cosine,10,60,0.21229695969114665,0.6334574075676986,0.48515055536410673
zscore,cosine,10,40,0.21033388094964733,0.6336728064319838,0.4852512278240827
zscore,cosine,5,20,0.2097558094625545,0.6432621806888443,0.49126314811612154
zscore,cosine,15,60,0.20896337413554955,0.6327886838508079,0.4858239193545527
zscore,cosine,5,60,0.20664466975487508,0.6402190080964142,0.48776623828524085
zscore,cosine,20,60,0.20663790953812866,0.6326439961347213,0.48708278544594974
zscore,cosine,5,40,0.20556321635305222,0.6409148410765423,0.48839950785584124
zscore,cosine,15,40,0.20364705486354018,0.6330056544456666,0.48626489792427247
mean_center,cosine,10,60,0.20309537593170487,0.6331765169411521,0.48418830347230973
mean_center,cosine,10,40,0.2024116126025901,0.6328592375203794,0.4844998883021322
zscore,cosine,20,40,0.2017968505577982,0.6326822209488375,0.4875834866693265
zscore,cosine,5,10,0.2017725110912235,0.6540118885131881,0.4988494706211959
mean_center,cosine,15,60,0.2002868625731522,0.6331011770282359,0.4851761587141046
mean_center,cosine,20,60,0.1993698461676537,0.6328076210566007,0.4865991937460804
mean_center,cosine,5,20,0.19887155327605893,0.6432263630298308,0.4903510943634173
zscore,cosine,10,20,0.1985240782477219,0.6368318393874486,0.4881248933622289
mean_center,cosine,20,40,0.19774361311429656,0.632852803624123,0.4871213508615195
mean_center,cosine,10,20,0.19658325731449058,0.6362971014962404,0.4869970415832831
zscore,cosine,15,20,0.19508588196454596,0.6359650693488333,0.4889911568974122
mean_center,cosine,15,40,0.1941751047774656,0.6329583055833781,0.4856341110466142
mean_center,cosine,5,10,0.19386626048709424,0.6537779276557105,0.49839874530925926
mean_center,cosine,5,60,0.1929117292115415,0.6396390438983736,0.4864584463947261
zscore,cosine,3,10,0.1921549436999468,0.657113222394571,0.5015158486040107
zscore,cosine,20,20,0.19135789529282105,0.6355273649828542,0.49006117225855456
mean_center,cosine,5,40,0.1910475360723933,0.6398943556502324,0.48714729797639145
zscore,cosine,3,20,0.190880378318022,0.6467570296380301,0.49365311254766564
zscore,cosine,3,60,0.19082850521137784,0.6429388228409417,0.4895517440664418
zscore,cosine,3,40,0.18992798452631432,0.6435628053371414,0.4901412505867584
zscore,cosine,10,10,0.18923247372218663,0.6472841807485257,0.4950911879468989
mean_center,cosine,10,10,0.18712662549988168,0.6453927225099332,0.4938879048274301
mean_center,cosine,20,20,0.18625573299753714,0.6355040978329203,0.48916772647457074
zscore,cosine,15,10,0.18547716385345375,0.643377063923958,0.4941028023957933
mean_center,cosine,15,20,0.1839343338586303,0.6357893995602723,0.4877140486687084
mean_center,cosine,20,10,0.183671852147451,0.6428760255666457,0.49485842104783306
mean_center,cosine,3,10,0.1832942101302002,0.6582696358475248,0.5022934645435613
mean_center,cosine,15,10,0.18112004008612706,0.6437041215234609,0.4942502657655046
mean_center,cosine,3,20,0.17672595464720622,0.6467163294313594,0.49310391182752883
zscore,cosine,20,10,0.17628929782751673,0.6420827413575615,0.495365376207289
mean_center,cosine,3,40,0.17548284245284557,0.642616884084221,0.4891297832911784
mean_center,cosine,3,60,0.173665348565357,0.6418074875551351,0.48819840193954067
mean_center,pearson,20,60,0.16394052690764901,0.6575709562314943,0.5054621144007678
mean_center,pearson,20,40,0.16163344922334263,0.6589766414143503,0.5065076070345179
mean_center,pearson,15,60,0.1607806534918156,0.6645038763879788,0.5098001140024478
mean_center,pearson,15,40,0.1574138023249566,0.6661620605661297,0.5110128940372031
mean_center,pearson,15,20,0.15110963664601823,0.672203075876413,0.5163872515579079
mean_center,pearson,20,20,0.15063752283959908,0.6647199345612277,0.5107809625080482
mean_center,pearson,10,20,0.14454924842154188,0.6803700307046405,0.5213133317875541
mean_center,pearson,10,40,0.14450149935791523,0.6728290552971639,0.5154879780511259
mean_center,pearson,10,60,0.14183081476194664,0.6713077106575288,0.5142980581149085
mean_center,pearson,3,10,0.13853704200440134,0.7335361239668654,0.5590308124991527
mean_center,pearson,10,10,0.13756241158400337,0.6967586826771207,0.53284649608872
mean_center,pearson,15,10,0.13645437401610908,0.6850915518904098,0.5259440018094025
mean_center,pearson,20,10,0.1345129674688267,0.6755285793992706,0.5189221508603372
mean_center,pearson,3,20,0.1240129803700411,0.7157712400694354,0.5463380151458335
mean_center,pearson,3,40,0.10948112283925537,0.7068013138972109,0.5387556910143049
mean_center,pearson,3,60,0.10505691317833608,0.7050262791496662,0.5371374585030756
mean_center,pearson,5,10,0.10240360358817967,0.7240300249432347,0.5527344908704077
mean_center,pearson,5,20,0.09101587166735753,0.7069389910800925,0.5399237854969701
mean_center,pearson,5,40,0.0808205299973217,0.6978997902304322,0.5326501893326184
mean_center,pearson,5,60,0.07547477259560378,0.6966258978658711,0.531408861643059
