Method,K_Neighbors,Min_Overlap,NDCG@10
Pearson_SW,20,5,0.29607414116268843
Pearson_SW,50,5,0.2201769589852225
Pearson_SW,20,10,0.3056395551873564
Pearson_SW,50,10,0.23484039137845508
Pearson_Shrink,20,5,0.2939121724000936
Pearson_Shrink,50,5,0.21770975584717486
Pearson_Shrink,20,10,0.30081976159923174
Pearson_Shrink,50,10,0.22515886484610273
Cosine,20,5,0.4085877289820702
Cosine,50,5,0.2715381444552266
Cosine,20,10,0.33170942252086216
Cosine,50,10,0.23741817710028063
Spearman_Rank,20,5,0.3233926520140606
Spearman_Rank,50,5,0.26051220213711745
Spearman_Rank,20,10,0.3223156939738962
Spearman_Rank,50,10,0.24115062428816192
Spearman_SW,20,5,0.2936087390270274
Spearman_SW,50,5,0.21599057329034224
Spearman_SW,20,10,0.29938166064694094
Spearman_SW,50,10,0.23023543156217727
